Date,Open,High,Low,Close,Volume
2008-03-14,582.99,594.07,574.92,579.42,205362790
2008-03-17,579.19,579.19,553.39,554.53,311142263
2008-03-18,555.4,574.76,555.29,572.98,235006566
2008-03-19,575.73,579.76,565.53,569.46,255544024
2008-03-20,566.53,569.41,561.95,565.63,363236306
2008-03-25,565.76,584.36,565.73,583.73,221643799
2008-03-26,582.47,584.75,580.02,581.69,169185178
2008-03-27,581.45,592.7,581.1,590.39,177610934
2008-03-28,590.94,593.71,586.66,588.9,150832060
2008-03-31,586.07,587.33,578.49,587.24,137271956
2008-04-01,584.73,603.77,584.73,603.05,203840626
2008-04-02,605.65,608.61,603.06,606.66,192276298
2008-04-03,608.23,608.37,600.15,604.02,161297476
2008-04-04,604.96,609.13,600.76,606.79,140846182
2008-04-07,609.91,613.95,609.91,611.81,133522637
2008-04-08,608.86,609.1,603,606.47,127410938
2008-04-09,603.91,607.91,601.05,602.39,125380585
2008-04-10,601.35,602.1,592.77,600.65,179108443
2008-04-11,603.75,606.26,590.12,592.74,158590805
2008-04-14,589.07,589.92,585.07,588.72,124676142
2008-04-15,591.16,595.06,586.52,591.72,127652853
2008-04-16,595.11,602.64,593.5,602.2,159072302
2008-04-17,603.59,605.7,598.44,599.89,143749860
2008-04-18,602.45,614.82,602.45,613.57,198499556
2008-04-21,613.08,614.23,606.13,609.18,133145554
2008-04-22,607.15,612.13,603.5,605.51,143731507
2008-04-23,606.87,613.02,600.65,611.72,188010564
2008-04-24,610.77,614,605.05,612.94,179221766
2008-04-25,616.22,623.14,615.16,619.34,174461065
2008-04-28,621.25,626.87,620.45,622.52,123248162
2008-04-29,620.79,620.95,616.04,618.43,156884571
2008-04-30,618.49,624.82,615.48,624.02,170632511
2008-05-02,626.46,636.08,625.94,632.77,184419669
2008-05-05,631.67,634.2,630.98,633.47,81830849
2008-05-06,632.16,634.3,626.49,630.14,153501810
2008-05-07,632.41,638.47,632.31,636.1,147253931
2008-05-08,631.75,636.34,630.66,636.34,145174767
2008-05-09,632.72,633.21,627.39,630.28,152691132
2008-05-12,632.68,635.42,630.96,633.4,70984596
2008-05-13,636.59,637.57,630.84,635.38,135471912
2008-05-14,638.06,640.06,631.45,638.72,145508784
2008-05-15,637.64,639.31,635.01,639.07,140557642
2008-05-16,642.5,649.02,642.37,645.12,207652477
2008-05-19,647.14,652.95,646.82,652.8,136436816
2008-05-20,649.28,649.28,640.87,641.63,137946738
2008-05-21,642.43,644.56,633.32,635.5,180654057
2008-05-22,632.67,639.92,630.05,638.4,155066231
2008-05-23,637.59,637.74,626.19,626.66,152814148
2008-05-26,626.03,627.42,625.57,626.48,65976371
2008-05-27,628.04,630.04,622.28,626.44,135453491
2008-05-28,627.78,636.52,626.26,632.84,173796261
2008-05-29,634.72,637.35,630.49,634.71,151080721
2008-05-30,636.07,640.85,636.07,639.1,172057543
2008-06-02,638.82,639.74,631.13,632.15,123402490
2008-06-03,629.03,634.34,627.74,634.06,136470357
2008-06-04,631.57,631.63,624.27,629.92,142691123
2008-06-05,630.5,633.97,625.76,628.92,146342320
2008-06-06,631.46,634.49,616.62,617.24,188508877
2008-06-09,615.5,619.13,613.3,616.97,150679973
2008-06-10,613.47,614.71,608.02,612.49,159372356
2008-06-11,613.78,615.79,601.55,602.45,177151078
2008-06-12,602.94,608.97,601.97,607.5,160409725
2008-06-13,605.86,612.36,601.79,611.46,156058590
2008-06-16,613.16,615.51,604.68,609.58,127889397
2008-06-17,611.46,620.44,611.46,615.75,143552717
2008-06-18,615.49,616.05,607.15,609.05,151293144
2008-06-19,606.59,612.07,603.87,608.69,161271615
2008-06-20,609.52,612.59,593.99,597.29,342375401
2008-06-23,598.71,599.71,595.78,596.88,142277427
2008-06-24,597.33,599.24,584.25,591.26,184516745
2008-06-25,593.32,599.37,592.61,598.59,144951182
2008-06-26,594.53,595.18,584.16,584.82,158970300
2008-06-27,583.12,584.26,574.57,580.99,178858519
2008-06-30,581.19,582.91,570.17,580.4,163265775
2008-07-01,577.57,579.12,565.82,570.27,194887066
2008-07-02,570.91,576.53,567.37,567.37,184859136
2008-07-03,564.43,573.42,556.79,569.76,211212857
2008-07-04,570.78,571.33,562.52,563.72,98851032
2008-07-07,567.57,575.19,565.16,574,125275022
2008-07-08,572.83,572.85,558.9,565.24,182935541
2008-07-09,567.56,573.74,567.43,573.06,153880121
2008-07-10,569.51,572.18,562.06,566.01,162198994
2008-07-11,566.98,568.67,552.36,552.85,180546298
2008-07-14,556.72,560.97,555.59,556.55,126590430
2008-07-15,553.18,553.58,539.02,545.34,213750511
2008-07-16,547.44,553.42,538.43,551.98,205194149
2008-07-17,553.17,566.38,552.7,562.78,235342052
2008-07-18,560.92,571.09,558.65,570.1,222325783
2008-07-21,570.21,579.16,567,574.67,129774797
2008-07-22,572.11,576.11,565.73,575.55,153173311
2008-07-23,579.33,585.6,578.89,583.6,195298873
2008-07-24,584.22,586.39,571.95,573.87,202097687
2008-07-25,571.84,576.58,564.77,573.35,203398281
2008-07-28,571.9,572.06,566.07,566.51,125606548
2008-07-29,563.71,571.08,558.7,569.16,176592919
2008-07-30,569.19,579.35,569.19,576.01,160483715
2008-07-31,577.56,583.52,574.51,578.57,171410682
2008-08-01,576.96,578.41,569.16,570.59,141296048
2008-08-04,570.79,570.79,564.31,565.94,107709099
2008-08-05,566.95,579.62,564.84,578.73,169537024
2008-08-06,579.86,583.64,577.33,583.32,156071367
2008-08-07,582.15,588.44,580.19,582.09,135843271
2008-08-08,580.53,585.47,575.13,584.22,142822559
2008-08-11,584.81,588.55,584.3,588.33,129126628
2008-08-12,586.68,589.33,582.67,586.21,133695022
2008-08-13,584.37,584.61,572.76,573,172251170
2008-08-14,576.14,578.37,569.07,574.96,124898827
2008-08-15,577.03,580.91,571.47,575.65,138302168
2008-08-18,573.05,579.07,569.67,575.03,85408028
2008-08-19,572.55,572.55,561.93,562.94,130426960
2008-08-20,564.79,567.62,561.73,566.31,105541257
2008-08-21,563.94,564,558.35,559.74,132745739
2008-08-22,560.72,569.71,559.5,569.02,113867173
2008-08-25,567.27,570.43,564.84,565.21,64608512
2008-08-26,563.36,571.24,560.25,568.9,105444398
2008-08-27,567.86,569.81,561.89,567.97,102076723
2008-08-28,566.52,578.41,563.51,575.9,132261581
2008-08-29,576.02,579.49,574.74,577.15,112040095
2008-09-01,573.48,578.73,570.49,576.77,90955594
2008-09-02,576.21,586.95,573.24,584.19,158666445
2008-09-03,580.52,582.95,577.31,578.5,121631073
2008-09-04,578.39,579.22,561.31,562.4,160027773
2008-09-05,559.31,559.99,545.67,548.25,188734783
2008-09-08,548.41,568.32,548.41,560.31,177267905
2008-09-09,559.37,564.32,553.06,555.49,179720169
2008-09-10,555.32,555.66,548.82,552.56,171791599
2008-09-11,550.4,552.44,542.31,549.5,157022447
2008-09-12,551.91,556.67,549.33,555.91,160458820
2008-09-15,555.29,555.43,530.77,539.63,296158777
2008-09-16,538.6,539.02,522.46,531.67,320374056
2008-09-17,531.76,538.1,520.75,522.84,273275039
2008-09-18,523.47,531.44,517.85,521.3,319506728
2008-09-19,520.8,551.1,520.8,548.9,543117084
2008-09-22,548.78,551.96,541.52,541.79,200707504
2008-09-23,540.49,541.37,534.31,536.77,180981544
2008-09-24,537.44,540.22,532.09,535.4,141107985
2008-09-25,535.44,545.64,535.18,544.5,154806579
2008-09-26,539.49,539.73,529.81,534.15,136220865
2008-09-29,529.16,530.19,509.73,510.14,202326289
